alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
dunkin-donuts-asheville,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.613098, 'longitude': -82.554748}",(828) 251-8224,3347.147468,BSI4cO84PcZu01eqUKoFww,https://s3-media3.fl.yelpcdn.com/bphoto/7PcO_LyNSziDLHBQRY5HuQ/o.jpg,FALSE,"{'address1': '411 Merrimon Ave', 'address2': '', 'address3': '', 'city': 'Asheville', 'zip_code': '28804', 'country': 'US', 'state': 'NC', 'display_address': ['411 Merrimon Ave', 'Asheville, NC 28804']}",Dunkin Donuts,18282518224,$,4,9,[],https://www.yelp.com/biz/dunkin-donuts-asheville?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
krispy-kreme-asheville-2,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.58655, 'longitude': -82.58926}",(828) 254-6007,3028.627525,nadAANNoMrS0eMcSqxeMPw,https://s3-media3.fl.yelpcdn.com/bphoto/3tbkdATCkLt5g88kAZAmCQ/o.jpg,FALSE,"{'address1': '960 Patton Ave', 'address2': '', 'address3': '', 'city': 'Asheville', 'zip_code': '28806', 'country': 'US', 'state': 'NC', 'display_address': ['960 Patton Ave', 'Asheville, NC 28806']}",Krispy Kreme,18282546007,$,3,18,[],https://www.yelp.com/biz/krispy-kreme-asheville-2?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
starbucks-asheville-8,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.586698, 'longitude': -82.587045}",(828) 702-9636,2830.286661,#NAME?,https://s3-media4.fl.yelpcdn.com/bphoto/7WMVVppOSRgND0Db_U1VeA/o.jpg,FALSE,"{'address1': '946 Patton Avenue', 'address2': '10', 'address3': None, 'city': 'Asheville', 'zip_code': '28806', 'country': 'US', 'state': 'NC', 'display_address': ['946 Patton Avenue', '10', 'Asheville, NC 28806']}",Starbucks,18287029636,$$,3.5,9,[],https://www.yelp.com/biz/starbucks-asheville-8?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
high-five-coffee-riverside-woodfin,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 35.63475, 'longitude': -82.59922}",(828) 785-8272,7143.635325,veK1Mcyo5JBlpfEtbulYlA,https://s3-media2.fl.yelpcdn.com/bphoto/4jc_zMK7g5dbx5jl8fzG4Q/o.jpg,FALSE,"{'address1': '2000 Riverside Dr', 'address2': 'Ste 54', 'address3': None, 'city': 'Woodfin', 'zip_code': '28804', 'country': 'US', 'state': 'NC', 'display_address': ['2000 Riverside Dr', 'Ste 54', 'Woodfin, NC 28804']}",High Five Coffee - Riverside,18287858272,$,5,10,[],https://www.yelp.com/biz/high-five-coffee-riverside-woodfin?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
starbucks-asheville,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.580738, 'longitude': -82.526077}",(828) 298-7188,2724.701871,fbtuMigju9MrwxdCe_CSbQ,https://s3-media4.fl.yelpcdn.com/bphoto/gV98OE7PmR8a9dHsRHvAFw/o.jpg,FALSE,"{'address1': '3 S Tunnel Road', 'address2': '', 'address3': 'Asheville Mall', 'city': 'Asheville', 'zip_code': '28805', 'country': 'US', 'state': 'NC', 'display_address': ['3 S Tunnel Road', 'Asheville Mall', 'Asheville, NC 28805']}",Starbucks,18282987188,$$,3,14,[],https://www.yelp.com/biz/starbucks-asheville?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
peaberry-press-coffee-and-smoothie-bar-asheville,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]","{'latitude': 35.5730133056641, 'longitude': -82.5032424926758}",(828) 772-0438,4903.744618,QJfaIfytleurHELj9y9iuQ,https://s3-media1.fl.yelpcdn.com/bphoto/yIPN60fxVddHGzpLuf5vDA/o.jpg,FALSE,"{'address1': '802 Fairview Rd', 'address2': 'Ste 800', 'address3': '', 'city': 'Asheville', 'zip_code': '28803', 'country': 'US', 'state': 'NC', 'display_address': ['802 Fairview Rd', 'Ste 800', 'Asheville, NC 28803']}",Peaberry Press - Coffee & Smoothie Bar,18287720438,$$,4,6,[],https://www.yelp.com/biz/peaberry-press-coffee-and-smoothie-bar-asheville?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
starbucks-asheville-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.523625, 'longitude': -82.529053}",(828) 274-0586,7041.893352,mijS92_j7umPSzj-1uXW7w,https://s3-media2.fl.yelpcdn.com/bphoto/uOOiLl4pFEDNk-8CjuZXVg/o.jpg,FALSE,"{'address1': '1378 Hendersonville Road', 'address2': None, 'address3': None, 'city': 'Asheville', 'zip_code': '28803', 'country': 'US', 'state': 'NC', 'display_address': ['1378 Hendersonville Road', 'Asheville, NC 28803']}",Starbucks,18282740586,$$,3.5,12,[],https://www.yelp.com/biz/starbucks-asheville-2?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
rolled-and-roasted-asheville-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 35.5809, 'longitude': -82.526672}",(828) 620-1082,2669.481422,M7IFqcSJd2NKxsC95TLMsQ,https://s3-media1.fl.yelpcdn.com/bphoto/Lt-qNzfxXI8Ku0MxaEH7Dg/o.jpg,FALSE,"{'address1': '3 S Tunnel Rd', 'address2': '', 'address3': None, 'city': 'Asheville', 'zip_code': '28806', 'country': 'US', 'state': 'NC', 'display_address': ['3 S Tunnel Rd', 'Asheville, NC 28806']}",Rolled & Roasted,18286201082,$,4.5,5,[],https://www.yelp.com/biz/rolled-and-roasted-asheville-2?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
starbucks-asheville-9,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.482783, 'longitude': -82.554696}",(828) 458-3700,11146.05293,F5YuXDPMK-4R8bhidm1PHA,https://s3-media2.fl.yelpcdn.com/bphoto/oelrGDakGTu3OnHZAuobjg/o.jpg,FALSE,"{'address1': '26 Carl Alwin Place', 'address2': '10', 'address3': '', 'city': 'Asheville', 'zip_code': '28803', 'country': 'US', 'state': 'NC', 'display_address': ['26 Carl Alwin Place', '10', 'Asheville, NC 28803']}",Starbucks,18284583700,$$,3.5,9,[],https://www.yelp.com/biz/starbucks-asheville-9?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
fletcher-village-bakery-fletcher,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'bagels', 'title': 'Bagels'}]","{'latitude': 35.440242, 'longitude': -82.505607}",(828) 687-7999,16482.93384,7bQR9HAeVwdkfrYvz3z_og,https://s3-media3.fl.yelpcdn.com/bphoto/qOrjgcpHSebpz7H7FVNGcw/o.jpg,FALSE,"{'address1': '235 St Johns Rd', 'address2': 'Ste 70', 'address3': '', 'city': 'Fletcher', 'zip_code': '28732', 'country': 'US', 'state': 'NC', 'display_address': ['235 St Johns Rd', 'Ste 70', 'Fletcher, NC 28732']}",Fletcher Village Bakery,18286877999,$$,4.5,25,[],https://www.yelp.com/biz/fletcher-village-bakery-fletcher?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
