City,Name,Review,Zip_codes,Rating,Price,Lat,Long,Title
asheville,Sunny Point Café,1523,28806,4.5,$$,35.57859,-82.5888499,Southern
asheville,Cúrate,1408,28801,4.5,$$$,35.5942,-82.55162,Tapas Bars
asheville,Tupelo Honey,2102,28801,4.5,$$,35.594671,-82.554889,Southern
asheville,Biscuit Head,1151,28801,4.5,$,35.581280916539,-82.551527679148,Cafes
asheville,White Duck Taco Shop,1226,28801,4.5,$,35.594012,-82.572271,American (New)
asheville,Biscuit Head,765,28806,4.5,$,35.57788,-82.59277,Bakeries
asheville,Chai Pani,731,28801,4.5,$$,35.595036,-82.5553632,Indian
asheville,HomeGrown,867,28801,4.5,$,35.611713,-82.554833,American (New)
asheville,12 Bones Smokehouse RIVER,755,28801,4.5,$$,35.5775205,-82.5660508,Barbeque
asheville,The Admiral,676,28806,4.5,$$,35.57773,-82.5798,American (New)
asheville,Plant,416,28801,4.5,$$,35.604731,-82.552837,Vegan
asheville,Chestnut,674,28801,4.5,$$,35.5931657,-82.550943,American (New)
asheville,Limones Restaurant,528,28801,4.5,$$,35.59384,-82.55073,Mexican
asheville,Early Girl Eatery,861,28801,4.0,$$,35.594839,-82.555001,Vegetarian
asheville,HOLE - Hot Doughnuts and Fresh Coffee,343,28806,4.5,$,35.58077,-82.57313,Donuts
asheville,Corner Kitchen,719,28803,4.0,$$,35.5662827271363,-82.5412345656414,American (Traditional)
asheville,Laughing Seed Cafe,607,28801,4.0,$$,35.59453,-82.55582,Vegetarian
asheville,Biltmore Estate,928,28803,4.0,$$$,35.540558,-82.552342,Museums
asheville,Nine Mile,492,28801,4.5,$$,35.60292,-82.56455,Caribbean
asheville,Salsa's,674,28801,4.0,$$,35.594852,-82.552072,Mexican
asheville,French Broad Chocolate Lounge,684,28801,4.0,$$,35.59491,-82.55104,Chocolatiers & Shops
asheville,Rocky's Hot Chicken Shack,431,28806,4.5,$$,35.5785688060001,-82.6097350223432,Chicken Wings
asheville,Over Easy Cafe,496,28801,4.5,$$,35.59639,-82.55185,Breakfast & Brunch
asheville,Farm Burger Asheville,616,28801,4.0,$$,35.5947799402353,-82.5522854179144,Burgers
asheville,Red Ginger Dimsum And Tapas,422,28801,4.5,$$,35.5977171266241,-82.5556116690861,Dim Sum
asheville,Blue Dream Curry House,294,28801,4.5,$$,35.594554,-82.555198,Asian Fusion
asheville,Zambra Wine Tapas & Cuisine,452,28801,4.0,$$,35.5961644649506,-82.5544580072165,Wine Bars
asheville,Abeja's House Cafe,239,28803,4.5,$,35.5150679121487,-82.5269131812844,Breakfast & Brunch
asheville,Funkatorium,317,28801,4.5,$$,35.5891991,-82.5552216,Pubs
asheville,Vinnie's Neighborhood Italian,348,28804,4.5,$$,35.621156,-82.554172,Italian
asheville,The Market Place,382,28801,4.5,$$,35.59455,-82.5552,American (New)
asheville,Battery Park Book Exchange & Champagne Bar,254,28801,4.5,$$,35.5950978916618,-82.5566715687172,Bookstores
asheville,Luella's Bar-B-Que,422,28804,4.0,$$,35.61527,-82.55462,Barbeque
asheville,Mayfel's,566,28801,4.0,$$,35.59499,-82.55462,Southern
asheville,Posana,390,28801,4.0,$$,35.59458,-82.55172,American (New)
asheville,Rosetta's Kitchen & The Buchi Bar,369,28801,4.0,$$,35.59875,-82.55392,Vegetarian
asheville,The Chocolate Fetish,195,28801,4.5,$$,35.5957099,-82.5549,Chocolatiers & Shops
asheville,Wedge Brewing Company,299,28801,4.5,$,35.586253,-82.566383,Bars
asheville,Double D's Coffee & Desserts,284,28801,4.5,$,35.593242,-82.551413,Coffee & Tea
asheville,Bhramari Brewing Company,341,28801,4.5,$$,35.59142,-82.55211,Breweries
asheville,Buxton Hall Barbecue,645,28801,4.0,$$,35.5892162495678,-82.5535614385767,Southern
asheville,The Lobster Trap,371,28801,4.0,$$$,35.5950088500977,-82.5532531738281,Seafood
asheville,Moe's Original Bar B Que,290,28803,4.5,$$,35.56585,-82.53815,Soul Food
asheville,White Duck Taco Shop,373,28803,4.0,$,35.5942781,-82.5513645,American (New)
asheville,Sovereign Remedies,247,28801,4.5,$$,35.59688177349,-82.551155643696,Cocktail Bars
asheville,Rezaz,320,28803,4.0,$$,35.56768,-82.54375,Wine Bars
asheville,Taco Billy,212,28807,4.5,$,35.58005,-82.57455,Coffee & Tea
asheville,Rhubarb,387,28801,4.0,$$$,35.594619,-82.551898,American (New)
asheville,Bouchon French Bistro,352,28801,4.0,$$,35.59698,-82.55314,French
asheville,Pack's Tavern,467,28801,4.0,$$,35.5951305689568,-82.5496426269837,Pubs
asheville,Old Europe Coffee & Pastries,283,28801,4.0,$,35.59578,-82.55221,Coffee & Tea
asheville,Jerusalem Garden Cafe,302,28801,4.0,$$,35.59424,-82.55476,Middle Eastern
asheville,Vortex Doughnuts,421,28801,4.0,$,35.5891903065579,-82.5537250754745,Coffee & Tea
asheville,Cucina 24,273,28801,4.0,$$$,35.59454,-82.55537,Italian
