alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
bull-and-beggar-asheville,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 35.5865014297322, 'longitude': -82.5668791405796}",(828) 575-9443,1051.002691974962,Hbq8phpGo9cWXAROKlVXcA,https://s3-media2.fl.yelpcdn.com/bphoto/kM1tjGQECuBfi9hOSRmyqA/o.jpg,False,"{'address1': '37 Paynes Way', 'address2': 'Ste 007', 'address3': '', 'city': 'Asheville', 'zip_code': '28801', 'country': 'US', 'state': 'NC', 'display_address': ['37 Paynes Way', 'Ste 007', 'Asheville, NC 28801']}",Bull And Beggar,+18285759443,$$$,4.0,226,[],https://www.yelp.com/biz/bull-and-beggar-asheville?adjust_creative=yo3sRv_GQ1hCRjRPrZfQkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yo3sRv_GQ1hCRjRPrZfQkw
tupelo-honey-asheville-2,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'southern', 'title': 'Southern'}]","{'latitude': 35.5030404957341, 'longitude': -82.5255469067459}",(828) 505-7676,9311.92704176977,ewIMvdSDrUOdqNOPhRJVLQ,https://s3-media3.fl.yelpcdn.com/bphoto/YMirzyFmZWwm4_y-P1M5_A/o.jpg,False,"{'address1': '1829 Hendersonville Rd', 'address2': None, 'address3': None, 'city': 'Asheville', 'zip_code': '28803', 'country': 'US', 'state': 'NC', 'display_address': ['1829 Hendersonville Rd', 'Asheville, NC 28803']}",Tupelo Honey,+18285057676,$$,4.0,508,[],https://www.yelp.com/biz/tupelo-honey-asheville-2?adjust_creative=yo3sRv_GQ1hCRjRPrZfQkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yo3sRv_GQ1hCRjRPrZfQkw
well-bred-bakery-and-cafe-asheville,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'bakeries', 'title': 'Bakeries'}]","{'latitude': 35.566257067378, 'longitude': -82.5415501612667}",(828) 774-5307,2280.0074787193616,RQnT2ci2whqwWcik_8Yg-A,https://s3-media4.fl.yelpcdn.com/bphoto/tK8Erpf0V489rfSEb8qjyA/o.jpg,False,"{'address1': '6 Boston Way', 'address2': '', 'address3': '', 'city': 'Asheville', 'zip_code': '28803', 'country': 'US', 'state': 'NC', 'display_address': ['6 Boston Way', 'Asheville, NC 28803']}",Well-Bred Bakery & Cafe,+18287745307,$,4.5,200,[],https://www.yelp.com/biz/well-bred-bakery-and-cafe-asheville?adjust_creative=yo3sRv_GQ1hCRjRPrZfQkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yo3sRv_GQ1hCRjRPrZfQkw
chiesa-asheville,"[{'alias': 'italian', 'title': 'Italian'}]","{'latitude': 35.6004486, 'longitude': -82.5631104}",(828) 552-3110,2040.8163359798177,zU-uzCALA7UFT-vrV_QAXw,https://s3-media2.fl.yelpcdn.com/bphoto/s5FnlzRj9ElHiUwoe3jsYA/o.jpg,False,"{'address1': '152 Montford Ave', 'address2': '', 'address3': '', 'city': 'Asheville', 'zip_code': '28801', 'country': 'US', 'state': 'NC', 'display_address': ['152 Montford Ave', 'Asheville, NC 28801']}",Chiesa,+18285523110,$$,4.5,173,[],https://www.yelp.com/biz/chiesa-asheville?adjust_creative=yo3sRv_GQ1hCRjRPrZfQkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yo3sRv_GQ1hCRjRPrZfQkw
mela-indian-restaurant-asheville,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 35.5972579, 'longitude': -82.553156}",(828) 225-8880,1605.521435198478,nXdNFbWmik_4bS41cYpbuw,https://s3-media3.fl.yelpcdn.com/bphoto/qEqcRiGZQkRz14cY6adxHQ/o.jpg,False,"{'address1': '70 N Lexington Ave', 'address2': '', 'address3': '', 'city': 'Asheville', 'zip_code': '28801', 'country': 'US', 'state': 'NC', 'display_address': ['70 N Lexington Ave', 'Asheville, NC 28801']}",Mela Indian Restaurant,+18282258880,$$,4.0,385,[],https://www.yelp.com/biz/mela-indian-restaurant-asheville?adjust_creative=yo3sRv_GQ1hCRjRPrZfQkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yo3sRv_GQ1hCRjRPrZfQkw
bebettes-beignets-and-coffee-asheville,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 35.5856, 'longitude': -82.52863}",(828) 552-3284,2496.936037582347,3x9cONubc6_Nkb77PJPtCA,https://s3-media1.fl.yelpcdn.com/bphoto/EuonID9gm6BhBJu5dcxmRw/o.jpg,False,"{'address1': '211 Tunnel Rd', 'address2': '', 'address3': None, 'city': 'Asheville', 'zip_code': '28805', 'country': 'US', 'state': 'NC', 'display_address': ['211 Tunnel Rd', 'Asheville, NC 28805']}",Bebettes Beignets & Coffee,+18285523284,$,4.5,128,[],https://www.yelp.com/biz/bebettes-beignets-and-coffee-asheville?adjust_creative=yo3sRv_GQ1hCRjRPrZfQkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yo3sRv_GQ1hCRjRPrZfQkw
copper-crown-asheville,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'southern', 'title': 'Southern'}]","{'latitude': 35.58704, 'longitude': -82.49347}",(828) 505-7531,5683.398765755803,N2206XOY8yJhh9VVsS8Aeg,https://s3-media2.fl.yelpcdn.com/bphoto/dprXNHdwi4k90Ca81OBSyQ/o.jpg,False,"{'address1': '1011 Tunnel Rd', 'address2': '', 'address3': '', 'city': 'Asheville', 'zip_code': '28805', 'country': 'US', 'state': 'NC', 'display_address': ['1011 Tunnel Rd', 'Asheville, NC 28805']}",Copper Crown,+18285057531,$$,4.5,200,[],https://www.yelp.com/biz/copper-crown-asheville?adjust_creative=yo3sRv_GQ1hCRjRPrZfQkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yo3sRv_GQ1hCRjRPrZfQkw
mellow-mushroom-asheville,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 35.5968791494911, 'longitude': -82.5520351080281}",(828) 236-9800,1584.259536918058,v7KZFqZ3C9arVrpa2177dg,https://s3-media2.fl.yelpcdn.com/bphoto/kqhHilb-0YtXWVcRlVkbJQ/o.jpg,False,"{'address1': '50 Broadway Ave', 'address2': '', 'address3': '', 'city': 'Asheville', 'zip_code': '28801', 'country': 'US', 'state': 'NC', 'display_address': ['50 Broadway Ave', 'Asheville, NC 28801']}",Mellow Mushroom,+18282369800,$$,4.0,329,[],https://www.yelp.com/biz/mellow-mushroom-asheville?adjust_creative=yo3sRv_GQ1hCRjRPrZfQkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yo3sRv_GQ1hCRjRPrZfQkw
liberty-house-coffee-and-café-asheville,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 35.6024315167022, 'longitude': -82.5514953923401}",(828) 412-3225,2198.3112280563523,FzSHrQr6flRAez6MXOpFOA,https://s3-media1.fl.yelpcdn.com/bphoto/MiCx_o4w4ZIIt4sPtQUxjg/o.jpg,False,"{'address1': '221 S Liberty St', 'address2': '', 'address3': '', 'city': 'Asheville', 'zip_code': '28801', 'country': 'US', 'state': 'NC', 'display_address': ['221 S Liberty St', 'Asheville, NC 28801']}",Liberty House Coffee and Café,+18284123225,$$,4.5,104,[],https://www.yelp.com/biz/liberty-house-coffee-and-caf%C3%A9-asheville?adjust_creative=yo3sRv_GQ1hCRjRPrZfQkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yo3sRv_GQ1hCRjRPrZfQkw
juicy-lucys-burger-bar-and-grill-asheville,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]","{'latitude': 35.5498046875, 'longitude': -82.5356292724609}",(828) 277-0355,4130.108470347525,jjrf82Jzt0jSkRSLvbHJ7g,https://s3-media1.fl.yelpcdn.com/bphoto/d70_IBxL3q56gUlPx2mLDA/o.jpg,False,"{'address1': '620 Hendersonville Rd', 'address2': '', 'address3': '', 'city': 'Asheville', 'zip_code': '28803', 'country': 'US', 'state': 'NC', 'display_address': ['620 Hendersonville Rd', 'Asheville, NC 28803']}",Juicy Lucy's Burger Bar and Grill,+18282770355,$$,4.0,286,[],https://www.yelp.com/biz/juicy-lucys-burger-bar-and-grill-asheville?adjust_creative=yo3sRv_GQ1hCRjRPrZfQkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yo3sRv_GQ1hCRjRPrZfQkw
