alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
taqueria-el-toro-raleigh,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 35.7308158874512, 'longitude': -78.657096862793}",(919) 661-5676,10282.992573825848,VPlLLekLBg1UulFi5u0MbQ,https://s3-media4.fl.yelpcdn.com/bphoto/vZCJgm07ibP5Q5yYexI8xQ/o.jpg,False,"{'address1': '3601 Junction Blvd', 'address2': None, 'address3': None, 'city': 'Raleigh', 'zip_code': '27603', 'country': 'US', 'state': 'NC', 'display_address': ['3601 Junction Blvd', 'Raleigh, NC 27603']}",Taqueria El Toro,+19196615676,$,4.5,247,[],https://www.yelp.com/biz/taqueria-el-toro-raleigh?adjust_creative=yo3sRv_GQ1hCRjRPrZfQkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yo3sRv_GQ1hCRjRPrZfQkw
mona-pita-raleigh,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 35.8584037, 'longitude': -78.5805677}",(919) 431-6500,7467.675339113381,DdGG2J1tqamBzGnS5ZRauw,https://s3-media2.fl.yelpcdn.com/bphoto/Om5fhiiQMmFwjclblcVQLw/o.jpg,False,"{'address1': '5260 Capital Blvd', 'address2': 'Ste 101', 'address3': '', 'city': 'Raleigh', 'zip_code': '27616', 'country': 'US', 'state': 'NC', 'display_address': ['5260 Capital Blvd', 'Ste 101', 'Raleigh, NC 27616']}",Mona Pita,+19194316500,$,4.5,197,"['delivery', 'pickup']",https://www.yelp.com/biz/mona-pita-raleigh?adjust_creative=yo3sRv_GQ1hCRjRPrZfQkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yo3sRv_GQ1hCRjRPrZfQkw
seoul-garden-restaurant-raleigh,"[{'alias': 'korean', 'title': 'Korean'}]","{'latitude': 35.849052806532, 'longitude': -78.602974194118}",(919) 850-9984,5205.719957007985,qeabde9RHjUJD0ZUFBV2YA,https://s3-media1.fl.yelpcdn.com/bphoto/ozD4NPCrJFdYCYSaETkG3A/o.jpg,False,"{'address1': '4701 Atlantic Ave', 'address2': 'Ste 131', 'address3': '', 'city': 'Raleigh', 'zip_code': '27604', 'country': 'US', 'state': 'NC', 'display_address': ['4701 Atlantic Ave', 'Ste 131', 'Raleigh, NC 27604']}",Seoul Garden Restaurant,+19198509984,$$,4.0,346,"['delivery', 'pickup']",https://www.yelp.com/biz/seoul-garden-restaurant-raleigh?adjust_creative=yo3sRv_GQ1hCRjRPrZfQkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yo3sRv_GQ1hCRjRPrZfQkw
the-raleigh-times-bar-raleigh-2,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]","{'latitude': 35.7781388809935, 'longitude': -78.6386299171509}",(919) 833-0999,5136.2321448881,Yr2VHk6OQMA56sdVkdMW6w,https://s3-media3.fl.yelpcdn.com/bphoto/e55p1Nx32Va_tAJ1VX1DWw/o.jpg,False,"{'address1': '14 E Hargett St', 'address2': '', 'address3': '', 'city': 'Raleigh', 'zip_code': '27601', 'country': 'US', 'state': 'NC', 'display_address': ['14 E Hargett St', 'Raleigh, NC 27601']}",The Raleigh Times Bar,+19198330999,$$,3.5,624,[],https://www.yelp.com/biz/the-raleigh-times-bar-raleigh-2?adjust_creative=yo3sRv_GQ1hCRjRPrZfQkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yo3sRv_GQ1hCRjRPrZfQkw
soo-café-raleigh-3,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'latitude': 35.8171559947175, 'longitude': -78.5962332235565}",(919) 876-1969,4994.540140926158,8FA64RmA-aNJsnepBsTU-A,https://s3-media1.fl.yelpcdn.com/bphoto/5WjqEe1O6VL0jMzoi6y1FQ/o.jpg,False,"{'address1': '2815 Brentwood Rd', 'address2': '', 'address3': '', 'city': 'Raleigh', 'zip_code': '27604', 'country': 'US', 'state': 'NC', 'display_address': ['2815 Brentwood Rd', 'Raleigh, NC 27604']}",Soo Café,+19198761969,$$,4.5,237,[],https://www.yelp.com/biz/soo-caf%C3%A9-raleigh-3?adjust_creative=yo3sRv_GQ1hCRjRPrZfQkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yo3sRv_GQ1hCRjRPrZfQkw
demos-pizzeria-and-deli-raleigh,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'delis', 'title': 'Delis'}]","{'latitude': 35.783627, 'longitude': -78.647144}",(919) 754-1050,4415.486077084176,vG84ugqQ2zrww52EVGZkbA,https://s3-media4.fl.yelpcdn.com/bphoto/spv-UI4miIHD8jDo5-_tvQ/o.jpg,False,"{'address1': '222 Glenwood Ave', 'address2': 'Ste 121', 'address3': '', 'city': 'Raleigh', 'zip_code': '27603', 'country': 'US', 'state': 'NC', 'display_address': ['222 Glenwood Ave', 'Ste 121', 'Raleigh, NC 27603']}",DeMo's Pizzeria & Deli,+19197541050,$,4.5,199,"['delivery', 'pickup']",https://www.yelp.com/biz/demos-pizzeria-and-deli-raleigh?adjust_creative=yo3sRv_GQ1hCRjRPrZfQkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yo3sRv_GQ1hCRjRPrZfQkw
peri-brothers-pizza-raleigh-4,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'pastashops', 'title': 'Pasta Shops'}]","{'latitude': 35.879901, 'longitude': -78.647028}",(919) 844-6692,6315.0820136807115,PCNmtbazpd1XW0TV8ZHZLA,https://s3-media1.fl.yelpcdn.com/bphoto/K2ISEEqiYP5j5Gy2iJLdhg/o.jpg,False,"{'address1': '7321 Six Forks Rd', 'address2': None, 'address3': '', 'city': 'Raleigh', 'zip_code': '27615', 'country': 'US', 'state': 'NC', 'display_address': ['7321 Six Forks Rd', 'Raleigh, NC 27615']}",Peri Brothers Pizza,+19198446692,$,4.5,166,"['delivery', 'pickup']",https://www.yelp.com/biz/peri-brothers-pizza-raleigh-4?adjust_creative=yo3sRv_GQ1hCRjRPrZfQkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yo3sRv_GQ1hCRjRPrZfQkw
lillys-pizza-raleigh,"[{'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 35.8051332553729, 'longitude': -78.6466635456331}",(919) 833-0226,2049.3347769485067,RR2aiJP8W99lAk5ejn8pvw,https://s3-media4.fl.yelpcdn.com/bphoto/jqtjjYMWnFgb7RkrfrFiqw/o.jpg,False,"{'address1': '1813 Glenwood Ave', 'address2': '', 'address3': '', 'city': 'Raleigh', 'zip_code': '27608', 'country': 'US', 'state': 'NC', 'display_address': ['1813 Glenwood Ave', 'Raleigh, NC 27608']}",Lilly's Pizza,+19198330226,$$,3.5,587,['delivery'],https://www.yelp.com/biz/lillys-pizza-raleigh?adjust_creative=yo3sRv_GQ1hCRjRPrZfQkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yo3sRv_GQ1hCRjRPrZfQkw
raleigh-raw-raleigh,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'kombucha', 'title': 'Kombucha'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 35.7781376, 'longitude': -78.6394579}",(919) 400-0944,5121.691352322436,rl7ePwiaEkP_NvvUtPvJWw,https://s3-media1.fl.yelpcdn.com/bphoto/IFN3j2vWRQ7BgtVMokOnPA/o.jpg,False,"{'address1': '7 W Hargett St', 'address2': None, 'address3': '', 'city': 'Raleigh', 'zip_code': '27601', 'country': 'US', 'state': 'NC', 'display_address': ['7 W Hargett St', 'Raleigh, NC 27601']}",Raleigh Raw,+19194000944,$$,4.5,158,[],https://www.yelp.com/biz/raleigh-raw-raleigh?adjust_creative=yo3sRv_GQ1hCRjRPrZfQkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yo3sRv_GQ1hCRjRPrZfQkw
plates-neighborhood-kitchen-raleigh,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]","{'latitude': 35.7843548128447, 'longitude': -78.647630768314}",(919) 828-0018,4331.416692800946,nTEEOKtzIpr97Sd4dYibhA,https://s3-media3.fl.yelpcdn.com/bphoto/9BksGnDOmc2qrMLGD3pHhg/o.jpg,False,"{'address1': '301 Glenwood Ave', 'address2': 'Ste 100', 'address3': '', 'city': 'Raleigh', 'zip_code': '27603', 'country': 'US', 'state': 'NC', 'display_address': ['301 Glenwood Ave', 'Ste 100', 'Raleigh, NC 27603']}",Plates Neighborhood Kitchen,+19198280018,$$,4.0,252,[],https://www.yelp.com/biz/plates-neighborhood-kitchen-raleigh?adjust_creative=yo3sRv_GQ1hCRjRPrZfQkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yo3sRv_GQ1hCRjRPrZfQkw
chubbys-tacos-raleigh,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 35.8171918, 'longitude': -78.6938651}",(919) 781-4480,3784.698031378275,h7TNFIQjauui6EVb_4oWuw,https://s3-media3.fl.yelpcdn.com/bphoto/0UiFr0r7A3AHViRDWPC7fw/o.jpg,False,"{'address1': '2444 Wycliff Rd', 'address2': '', 'address3': '', 'city': 'Raleigh', 'zip_code': '27607', 'country': 'US', 'state': 'NC', 'display_address': ['2444 Wycliff Rd', 'Raleigh, NC 27607']}",Chubby's Tacos,+19197814480,$,4.0,383,[],https://www.yelp.com/biz/chubbys-tacos-raleigh?adjust_creative=yo3sRv_GQ1hCRjRPrZfQkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yo3sRv_GQ1hCRjRPrZfQkw
