alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
espressoasis-chapel-hill,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.903883, 'longitude': -79.050979}",,1730.270924381138,seeLQ3QmRssEZJyHowGoRg,https://s3-media2.fl.yelpcdn.com/bphoto/pwFq3QjBv1HUJXV0RZWImA/o.jpg,False,"{'address1': '101 Manning Dr', 'address2': '', 'address3': 'University of North Carolina Hospital', 'city': 'Chapel Hill', 'zip_code': '27514', 'country': 'US', 'state': 'NC', 'display_address': ['101 Manning Dr', 'University of North Carolina Hospital', 'Chapel Hill, NC 27514']}",EspressOasis,,$$,3.5,6,[],https://www.yelp.com/biz/espressoasis-chapel-hill?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
pine-cone-durham-4,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 36.0003329912094, 'longitude': -78.909928181588}",(919) 317-2307,15267.43821444686,CTSRUY-IHQl0bJKCn1Zw6g,https://s3-media3.fl.yelpcdn.com/bphoto/_Ob7pQQHIKf0g_VdffRycQ/o.jpg,False,"{'address1': '905 W Main St', 'address2': 'Ste 20-H', 'address3': '', 'city': 'Durham', 'zip_code': '27701', 'country': 'US', 'state': 'NC', 'display_address': ['905 W Main St', 'Ste 20-H', 'Durham, NC 27701']}",Pine Cone,+19193172307,$,4.5,34,[],https://www.yelp.com/biz/pine-cone-durham-4?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
peoples-coffee-durham,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.901113, 'longitude': -78.960793}",(443) 463-9909,7983.5060331579825,HVRZki2W4pVeFamgRYONeA,https://s3-media2.fl.yelpcdn.com/bphoto/mQbqe-QiTVRaFkcssHxBKQ/o.jpg,False,"{'address1': '7830 NC-751', 'address2': 'Ste 100', 'address3': '', 'city': 'Durham', 'zip_code': '27713', 'country': 'US', 'state': 'NC', 'display_address': ['7830 NC-751', 'Ste 100', 'Durham, NC 27713']}",People's Coffee,+14434639909,,4.5,11,[],https://www.yelp.com/biz/peoples-coffee-durham?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
starbucks-chapel-hill-4,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.906455, 'longitude': -79.010793}",(919) 932-5020,3517.8003317039934,OZAGRpOqt7Rz672yME4Sgw,https://s3-media1.fl.yelpcdn.com/bphoto/mxho0U4AWgC1C-qnul56JQ/o.jpg,False,"{'address1': '116 W. Barbee Chapel Rd', 'address2': '', 'address3': 'Harris Teeter', 'city': 'Chapel Hill', 'zip_code': '27517', 'country': 'US', 'state': 'NC', 'display_address': ['116 W. Barbee Chapel Rd', 'Harris Teeter', 'Chapel Hill, NC 27517']}",Starbucks,+19199325020,$,3.0,8,[],https://www.yelp.com/biz/starbucks-chapel-hill-4?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
caffe-bellezza-durham,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.9992218017578, 'longitude': -78.9036178588867}",,16459.429624389908,AezBR7ZZ4z-kAgOPCboQMg,https://s3-media2.fl.yelpcdn.com/bphoto/XS0VtvR0zG_3_I8qsi8NlQ/o.jpg,False,"{'address1': '', 'address2': '', 'address3': '', 'city': 'Durham', 'zip_code': '27701', 'country': 'US', 'state': 'NC', 'display_address': ['Durham, NC 27701']}",Caffe Bellezza,,$,5.0,15,[],https://www.yelp.com/biz/caffe-bellezza-durham?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
starbucks-durham-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.954332, 'longitude': -78.993798}",(919) 493-2471,6166.447450839216,w3beOeYUtuunTpjp-lMn2A,https://s3-media2.fl.yelpcdn.com/bphoto/uXWbiv5kaqnvPK8gkzs7lw/o.jpg,False,"{'address1': '5319 New Hope Commons Dr', 'address2': 'Suite 105', 'address3': None, 'city': 'Durham', 'zip_code': '27707', 'country': 'US', 'state': 'NC', 'display_address': ['5319 New Hope Commons Dr', 'Suite 105', 'Durham, NC 27707']}",Starbucks,+19194932471,$,3.0,37,[],https://www.yelp.com/biz/starbucks-durham-2?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
weaver-street-market-hillsborough,"[{'alias': 'grocery', 'title': 'Grocery'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 36.07356, 'longitude': -79.09962}",(919) 245-5050,17827.018116037165,nLysQm4pzrZSH-bp5Ct5SQ,https://s3-media1.fl.yelpcdn.com/bphoto/v_txl030ezBAQIjGxAVEUg/o.jpg,False,"{'address1': '228 S Churton St', 'address2': None, 'address3': None, 'city': 'Hillsborough', 'zip_code': '27278', 'country': 'US', 'state': 'NC', 'display_address': ['228 S Churton St', 'Hillsborough, NC 27278']}",Weaver Street Market,+19192455050,$$,4.0,44,[],https://www.yelp.com/biz/weaver-street-market-hillsborough?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
starbucks-durham-4,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.899355, 'longitude': -78.897102}",(919) 293-0232,13643.586248007587,VdIV0pHxHQzlKj5LvOwo8Q,https://s3-media2.fl.yelpcdn.com/bphoto/r5aZ-xmrqnqjxUDcw9eFeQ/o.jpg,False,"{'address1': '4834 NC Hwy 55', 'address2': None, 'address3': None, 'city': 'Durham', 'zip_code': '27713', 'country': 'US', 'state': 'NC', 'display_address': ['4834 NC Hwy 55', 'Durham, NC 27713']}",Starbucks,+19192930232,$,3.5,58,[],https://www.yelp.com/biz/starbucks-durham-4?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
holy-moly-cannoli-durham,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 35.93373, 'longitude': -79.01584}",(919) 617-1084,10316.890019396928,u1r3hGJtR1RW39h_EN4eoA,https://s3-media1.fl.yelpcdn.com/bphoto/WCQ0W4dp8xbtaqYUpwuiXg/o.jpg,False,"{'address1': None, 'address2': None, 'address3': '', 'city': 'Durham', 'zip_code': '27517', 'country': 'US', 'state': 'NC', 'display_address': ['Durham, NC 27517']}",Holy Moly Cannoli,+19196171084,,5.0,7,[],https://www.yelp.com/biz/holy-moly-cannoli-durham?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
penguins-cafe-and-coffee-bar-chapel-hill,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'delis', 'title': 'Delis'}]","{'latitude': 35.934539, 'longitude': -79.027946}",(919) 968-1983,2402.597068939726,_yW9xQZtkthXXmS2nzO0XA,https://s3-media1.fl.yelpcdn.com/bphoto/rkj-p8IOaKqUZWQba-rzOw/o.jpg,False,"{'address1': '81 S Elliot Rd', 'address2': '', 'address3': 'Whole Foods', 'city': 'Chapel Hill', 'zip_code': '27514', 'country': 'US', 'state': 'NC', 'display_address': ['81 S Elliot Rd', 'Whole Foods', 'Chapel Hill, NC 27514']}",Penguins Cafe and Coffee Bar,+19199681983,$$,3.0,5,[],https://www.yelp.com/biz/penguins-cafe-and-coffee-bar-chapel-hill?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
the-belted-goat-pittsboro,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 35.800665, 'longitude': -79.091785}",(919) 545-5717,13777.322040057872,jrRcAibwtTrY0qf2REDlZg,https://s3-media3.fl.yelpcdn.com/bphoto/3ZPWCKDqLxtjsgTkxdOR-g/o.jpg,False,"{'address1': '240 Market St', 'address2': '', 'address3': '', 'city': 'Pittsboro', 'zip_code': '27312', 'country': 'US', 'state': 'NC', 'display_address': ['240 Market St', 'Pittsboro, NC 27312']}",The Belted Goat,+19195455717,$$,3.5,61,[],https://www.yelp.com/biz/the-belted-goat-pittsboro?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
starbucks-durham-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.904687, 'longitude': -78.937251}",(919) 544-4132,9979.081892735445,QzjZK2nvpc3qFvWPrc3Dqw,https://s3-media3.fl.yelpcdn.com/bphoto/ns_APvpFBM6Gi7M2-c-cxA/o.jpg,False,"{'address1': '6813 Fayetteville Road', 'address2': '', 'address3': '', 'city': 'Durham', 'zip_code': '27713', 'country': 'US', 'state': 'NC', 'display_address': ['6813 Fayetteville Road', 'Durham, NC 27713']}",Starbucks,+19195444132,$,3.0,35,[],https://www.yelp.com/biz/starbucks-durham-3?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
mcdonalds-chapel-hill-5,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 35.8472712, 'longitude': -79.090068}",(919) 929-8377,8888.165983507959,RFXwkI0bQQa1DSskVqKoKg,https://s3-media4.fl.yelpcdn.com/bphoto/k_C1p2WmCynjIXbFI-3frg/o.jpg,False,"{'address1': '11460 US 15-501 N', 'address2': '', 'address3': None, 'city': 'Chapel Hill', 'zip_code': '27517', 'country': 'US', 'state': 'NC', 'display_address': ['11460 US 15-501 N', 'Chapel Hill, NC 27517']}",McDonald's,+19199298377,$,3.0,6,[],https://www.yelp.com/biz/mcdonalds-chapel-hill-5?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
