alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
mcdonalds-durham-15,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 36.0297159477389, 'longitude': -78.9260478935648}",(919) 471-9669,5927.83705885197,dgucOBN0CHMCSbc3UHhRCg,https://s3-media1.fl.yelpcdn.com/bphoto/JTRvzCxqlhJRlJOSQWh0TQ/o.jpg,False,"{'address1': '2700 Guess Rd', 'address2': '', 'address3': '2700 Guess Road', 'city': 'Durham', 'zip_code': '27705', 'country': 'US', 'state': 'NC', 'display_address': ['2700 Guess Rd', '2700 Guess Road', 'Durham, NC 27705']}",McDonald's,+19194719669,$,2.0,15,[],https://www.yelp.com/biz/mcdonalds-durham-15?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
mcdonalds-durham-8,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 36.0214824065125, 'longitude': -78.9523874223232}",(919) 383-6989,5817.432093625029,ym-fPVgbn-GPeO_UEm49hA,https://s3-media2.fl.yelpcdn.com/bphoto/v3sa9Bpm6CIWX-BSD63SoA/o.jpg,False,"{'address1': '3533 Hillsborough Rd', 'address2': '', 'address3': '', 'city': 'Durham', 'zip_code': '27705', 'country': 'US', 'state': 'NC', 'display_address': ['3533 Hillsborough Rd', 'Durham, NC 27705']}",McDonald's,+19193836989,$,1.5,31,[],https://www.yelp.com/biz/mcdonalds-durham-8?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
mcdonalds-durham,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.8775639271067, 'longitude': -78.850237507454}",(919) 474-8809,12641.25232029733,99KsD_wNl4P0wxPM-rB9iA,https://s3-media2.fl.yelpcdn.com/bphoto/gSVO6tE92L6BcTpsNTF66g/o.jpg,False,"{'address1': '5507 S Miami Blvd', 'address2': '', 'address3': '', 'city': 'Durham', 'zip_code': '27703', 'country': 'US', 'state': 'NC', 'display_address': ['5507 S Miami Blvd', 'Durham, NC 27703']}",McDonald's,+19194748809,$,1.5,31,[],https://www.yelp.com/biz/mcdonalds-durham?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
mcdonalds-durham-5,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.97017, 'longitude': -78.95842}",(919) 490-6209,3633.898492434199,Y60JMYlz1V3mwS4_u7I8UQ,https://s3-media2.fl.yelpcdn.com/bphoto/DMsDKXIbC0jDi1Q05Qg0sw/o.jpg,False,"{'address1': '3117 Tower Blvd', 'address2': '', 'address3': '', 'city': 'Durham', 'zip_code': '27707', 'country': 'US', 'state': 'NC', 'display_address': ['3117 Tower Blvd', 'Durham, NC 27707']}",McDonald's,+19194906209,$,2.0,15,[],https://www.yelp.com/biz/mcdonalds-durham-5?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
dunkin-donuts-durham-8,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.9189088698072, 'longitude': -78.9601558072869}",,7423.169828831013,fh6UtdybM_9DZ3EazOvOwA,https://s3-media3.fl.yelpcdn.com/bphoto/pnRK-KybuM93BErkclPkXA/o.jpg,False,"{'address1': '1217 N Carolina 54', 'address2': '', 'address3': '', 'city': 'Durham', 'zip_code': '27713', 'country': 'US', 'state': 'NC', 'display_address': ['1217 N Carolina 54', 'Durham, NC 27713']}",Dunkin' Donuts,,$,3.0,6,[],https://www.yelp.com/biz/dunkin-donuts-durham-8?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
mcdonalds-durham-10,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 35.9486491, 'longitude': -78.923925}",(919) 484-0940,3153.6098706566313,9bQwIEe9EWJEtVIf9Vp4gw,https://s3-media2.fl.yelpcdn.com/bphoto/T7tiN4sLwdWfnUAKYzJvQw/o.jpg,False,"{'address1': '3844 S Roxboro St', 'address2': '', 'address3': '', 'city': 'Durham', 'zip_code': '27713', 'country': 'US', 'state': 'NC', 'display_address': ['3844 S Roxboro St', 'Durham, NC 27713']}",McDonald's,+19194840940,$,1.5,24,[],https://www.yelp.com/biz/mcdonalds-durham-10?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
mcdonalds-durham-7,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 36.0166607478469, 'longitude': -78.8896189536899}",(919) 220-4074,5164.439437933222,y8iwTuCAJGe68byskA6eLw,https://s3-media4.fl.yelpcdn.com/bphoto/mV0QO1Sno9KKD0QKBxA-6A/o.jpg,False,"{'address1': '2010 N Roxboro Rd', 'address2': '', 'address3': '', 'city': 'Durham', 'zip_code': '27704', 'country': 'US', 'state': 'NC', 'display_address': ['2010 N Roxboro Rd', 'Durham, NC 27704']}",McDonald's,+19192204074,$,1.5,17,[],https://www.yelp.com/biz/mcdonalds-durham-7?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
core-café-durham-4,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 35.96464, 'longitude': -78.95466}",(919) 525-6202,3472.2999665134103,MVZsqUPmLTLaDclKXTsyQQ,https://s3-media2.fl.yelpcdn.com/bphoto/KukIxtxh7RdhBaNwy54Zog/o.jpg,False,"{'address1': '3211 Shannon Rd', 'address2': 'Ste 106', 'address3': None, 'city': 'Durham', 'zip_code': '27707', 'country': 'US', 'state': 'NC', 'display_address': ['3211 Shannon Rd', 'Ste 106', 'Durham, NC 27707']}",CORE café,+19195256202,,5.0,1,[],https://www.yelp.com/biz/core-caf%C3%A9-durham-4?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
mcdonalds-durham-4,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.9984740029066, 'longitude': -78.8995008869188}",(919) 688-3070,2983.7739551852496,v5Y-pstsbvr0710wbgp2nA,https://s3-media2.fl.yelpcdn.com/bphoto/tSAvywWGqNbE1lVix22aqg/o.jpg,False,"{'address1': '102 Morgan St', 'address2': '', 'address3': '', 'city': 'Durham', 'zip_code': '27701', 'country': 'US', 'state': 'NC', 'display_address': ['102 Morgan St', 'Durham, NC 27701']}",McDonald's,+19196883070,$,1.0,28,[],https://www.yelp.com/biz/mcdonalds-durham-4?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
mcdonalds-durham-11,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.9114247040292, 'longitude': -78.9365295320749}",(919) 806-1345,7431.513843064013,5MsOR2L9Qlgz3MqaCdk1JQ,https://s3-media4.fl.yelpcdn.com/bphoto/JJbtza24witETedjNXtmQw/o.jpg,False,"{'address1': '204 W NC Hwy 54', 'address2': '', 'address3': '', 'city': 'Durham', 'zip_code': '27713', 'country': 'US', 'state': 'NC', 'display_address': ['204 W NC Hwy 54', 'Durham, NC 27713']}",McDonald's,+19198061345,$,2.0,9,[],https://www.yelp.com/biz/mcdonalds-durham-11?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
cinnamonster-durham-2,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 36.018111, 'longitude': -78.9102149}",(919) 286-3161,4668.666532812522,Fg9YVwpAfh0WIDJ-I_G78Q,,False,"{'address1': '1058 West Club Blvd', 'address2': '', 'address3': None, 'city': 'Durham', 'zip_code': '27701', 'country': 'US', 'state': 'NC', 'display_address': ['1058 West Club Blvd', 'Durham, NC 27701']}",Cinnamonster,+19192863161,,3.5,2,[],https://www.yelp.com/biz/cinnamonster-durham-2?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
ebar-durham,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.904345, 'longitude': -78.941093}",(919) 806-3700,8291.575051913056,A_NSqbcsT4bawaX1mYuzyQ,https://s3-media1.fl.yelpcdn.com/bphoto/r9_2gahpxAXpOlgcH5HSLw/o.jpg,False,"{'address1': '6910 Fayetteville Rd', 'address2': '', 'address3': '', 'city': 'Durham', 'zip_code': '27713', 'country': 'US', 'state': 'NC', 'display_address': ['6910 Fayetteville Rd', 'Durham, NC 27713']}",Ebar,+19198063700,$$,2.5,5,[],https://www.yelp.com/biz/ebar-durham?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
