alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
starbucks-raleigh-22,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.816105, 'longitude': -78.693763}",(919) 781-6211,3924.8042695584063,PqPa5KcwNPqLl6kofX3AyA,https://s3-media4.fl.yelpcdn.com/bphoto/a5w06_dMDnXsY6OsJc0TCQ/o.jpg,False,"{'address1': '3800 Lake Boone Trail', 'address2': None, 'address3': None, 'city': 'Raleigh', 'zip_code': '27607', 'country': 'US', 'state': 'NC', 'display_address': ['3800 Lake Boone Trail', 'Raleigh, NC 27607']}",Starbucks,+19197816211,$$,3.0,38,[],https://www.yelp.com/biz/starbucks-raleigh-22?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
starbucks-raleigh-21,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.824885, 'longitude': -78.707222}",(919) 789-4422,5061.2610951308725,ZpJkzU9Wx_Fg0K1MqjPEdQ,https://s3-media2.fl.yelpcdn.com/bphoto/Y6IHaKsYOzfuMukvQRZdpA/o.jpg,False,"{'address1': '3101-305 Edwards Mill Road', 'address2': '', 'address3': '', 'city': 'Raleigh', 'zip_code': '27612', 'country': 'US', 'state': 'NC', 'display_address': ['3101-305 Edwards Mill Road', 'Raleigh, NC 27612']}",Starbucks,+19197894422,$$,4.0,16,[],https://www.yelp.com/biz/starbucks-raleigh-21?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
starbucks-raleigh-19,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.866613, 'longitude': -78.57499}",(919) 792-2227,8389.750023589735,hTw6m26-NtAbgqDyyToKqg,https://s3-media4.fl.yelpcdn.com/bphoto/XV-evmqBfj7fbsTUojzVCQ/o.jpg,False,"{'address1': '5959 Triangle Town Boulevard', 'address2': 'Unit CL1136', 'address3': '', 'city': 'Raleigh', 'zip_code': '27616', 'country': 'US', 'state': 'NC', 'display_address': ['5959 Triangle Town Boulevard', 'Unit CL1136', 'Raleigh, NC 27616']}",Starbucks,+19197922227,$$,4.0,14,[],https://www.yelp.com/biz/starbucks-raleigh-19?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
starbucks-raleigh-17,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.904845, 'longitude': -78.60199}",(919) 847-1363,10100.096910952072,i4fWrN_LeR-_upcvR-zVVQ,https://s3-media1.fl.yelpcdn.com/bphoto/zI5PzBNmLyPBPwJUmGmvOQ/o.jpg,False,"{'address1': '9630 Falls of the Neuse Road', 'address2': '101', 'address3': '', 'city': 'Raleigh', 'zip_code': '27615', 'country': 'US', 'state': 'NC', 'display_address': ['9630 Falls of the Neuse Road', '101', 'Raleigh, NC 27615']}",Starbucks,+19198471363,$$,3.5,27,[],https://www.yelp.com/biz/starbucks-raleigh-17?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
starbucks-raleigh-16,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.887828, 'longitude': -78.6787346856589}",(919) 846-0633,7604.410067990942,sblpZpiJf-WWeSvOgSztSg,https://s3-media2.fl.yelpcdn.com/bphoto/gQYkVAkM15aCv3CTczU_Mg/o.jpg,False,"{'address1': '7498 Creedmor Road', 'address2': '', 'address3': '', 'city': 'Raleigh', 'zip_code': '27613', 'country': 'US', 'state': 'NC', 'display_address': ['7498 Creedmor Road', 'Raleigh, NC 27613']}",Starbucks,+19198460633,$$,3.5,28,[],https://www.yelp.com/biz/starbucks-raleigh-16?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
starbucks-raleigh-20,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.821351, 'longitude': -78.591828}",(919) 875-8760,5350.061724172705,ojD8XReCjt4aTqq2EAi6Aw,https://s3-media3.fl.yelpcdn.com/bphoto/B1r9FnY96rc_6-1wUE8qGA/o.jpg,False,"{'address1': '3023 Capital Blvd.', 'address2': '', 'address3': '', 'city': 'Raleigh', 'zip_code': '27604', 'country': 'US', 'state': 'NC', 'display_address': ['3023 Capital Blvd.', 'Raleigh, NC 27604']}",Starbucks,+19198758760,$,3.0,29,[],https://www.yelp.com/biz/starbucks-raleigh-20?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
the-outpost-raleigh,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]","{'latitude': 35.77787, 'longitude': -78.63456}",,5254.031396295726,gb_YoBKwLEl3vbKiv-5V6g,https://s3-media3.fl.yelpcdn.com/bphoto/9t94h7TfKh948UrcxoYAoQ/o.jpg,False,"{'address1': '306 E Hargett St', 'address2': '', 'address3': None, 'city': 'Raleigh', 'zip_code': '27601', 'country': 'US', 'state': 'NC', 'display_address': ['306 E Hargett St', 'Raleigh, NC 27601']}",The Outpost,,$,3.5,17,[],https://www.yelp.com/biz/the-outpost-raleigh?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
starbucks-raleigh-29,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.837009, 'longitude': -78.642707}",(919) 420-0514,1712.203231399263,qI8a8athD0Yzt_eEdhQnbQ,https://s3-media3.fl.yelpcdn.com/bphoto/LqqkaCFpy8AItjmWfNudww/o.jpg,False,"{'address1': '4160 Main St', 'address2': 'Ste 105', 'address3': 'North Hills Mall', 'city': 'Raleigh', 'zip_code': '27609', 'country': 'US', 'state': 'NC', 'display_address': ['4160 Main St', 'Ste 105', 'North Hills Mall', 'Raleigh, NC 27609']}",Starbucks,+19194200514,$$,3.0,22,[],https://www.yelp.com/biz/starbucks-raleigh-29?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
sheetz-raleigh-19,"[{'alias': 'servicestations', 'title': 'Gas Stations'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'convenience', 'title': 'Convenience Stores'}]","{'latitude': 35.862906, 'longitude': -78.599158}",(919) 790-7064,6436.441875803142,5UVNfG1G3k59FHVtRGsW7w,https://s3-media2.fl.yelpcdn.com/bphoto/WeCF13wBQv42qoemrpRV6Q/o.jpg,False,"{'address1': '2408 Dixie Forest Rd', 'address2': '', 'address3': '', 'city': 'Raleigh', 'zip_code': '27615', 'country': 'US', 'state': 'NC', 'display_address': ['2408 Dixie Forest Rd', 'Raleigh, NC 27615']}",Sheetz,+19197907064,,4.0,11,[],https://www.yelp.com/biz/sheetz-raleigh-19?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
caretta-coffee-and-cafe-raleigh-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]","{'latitude': 35.9069964943874, 'longitude': -78.5893400385976}",(919) 803-5212,10853.823417797263,mO5sznth9cF6MqfrrbUKrw,https://s3-media2.fl.yelpcdn.com/bphoto/qqJcOMJsFV1CSxPAKlfxjQ/o.jpg,False,"{'address1': '1141 Falls River Ave', 'address2': 'Ste 124', 'address3': None, 'city': 'Raleigh', 'zip_code': '27614', 'country': 'US', 'state': 'NC', 'display_address': ['1141 Falls River Ave', 'Ste 124', 'Raleigh, NC 27614']}",Caretta Coffee & Cafe,+19198035212,,3.5,18,[],https://www.yelp.com/biz/caretta-coffee-and-cafe-raleigh-2?adjust_creative=EuwlX0o9uBM8HUH31FfTSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EuwlX0o9uBM8HUH31FfTSg
